"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"6681",2,2,2,3,2
"6682",6,10,10,1,3
"6683",2,2,2,3,3
"6684",2,2,2,1,3
"6685",2,2,2,3,2
"6686",1,1,1,3,2
"6687",1,1,1,8,2
"6688",5,5,5,3,2
"6689",6,6,6,1,2
"6690",NA,1,1,1,NA
"6691",3,3,3,1,2
"6692",2,2,2,3,3
"6693",5,9,9,3,2
"6694",1,1,1,1,2
"6695",1,1,1,1,5
"6696",1,1,1,1,2
"6697",1,1,1,1,1
"6698",NA,10,10,3,NA
"6699",NA,1,1,1,NA
"6700",2,2,2,1,3
"6701",1,1,1,3,2
"6702",NA,6,6,3,NA
"6703",3,10,10,3,9999
"6704",1,1,1,1,2
"6705",7,9,9,1,5
"6706",NA,1,1,3,NA
"6707",6,2,2,3,2
"6708",1,1,1,3,2
"6709",5,10,10,1,3
"6710",5,1,1,3,4
"6711",7,7,7,1,2
"6712",1,1,1,1,2
"6713",3,3,3,6,2
"6714",6,6,6,1,3
"6715",6,1,1,1,2
"6716",3,3,3,1,1
"6717",NA,1,1,1,NA
"6718",1,1,1,1,1
"6719",2,2,2,3,1
"6720",5,5,5,3,2
"6721",1,10,10,1,2
"6722",1,10,10,3,3
"6723",2,2,2,3,1
"6724",5,9,9,3,2
"6725",9,10,10,1,3
"6726",5,5,5,3,5
"6727",5,10,10,1,5
"6728",2,2,2,3,2
"6729",NA,2,2,3,NA
"6730",NA,2,2,3,NA
"6731",6,6,6,3,2
"6732",2,2,2,3,2
"6733",1,1,1,1,2
"6734",2,2,2,1,3
"6735",2,10,10,3,3
"6736",2,2,2,1,2
"6737",2,2,2,3,2
"6738",6,6,6,1,5
"6739",1,10,10,3,3
"6740",5,5,5,3,5
"6741",1,1,1,1,2
"6742",6,1,1,1,5
"6743",6,10,10,3,3
"6744",3,3,3,1,1
"6745",2,2,2,3,2
"6746",2,2,2,1,2
"6747",NA,10,10,3,NA
"6748",1,1,1,1,2
"6749",1,1,1,1,2
"6750",1,1,1,1,3
"6751",2,2,2,1,2
"6752",NA,10,10,1,NA
"6753",2,5,5,6,4
"6754",2,2,2,3,2
"6755",2,2,2,1,1
"6756",1,99,9999,3,4
"6757",NA,10,10,3,NA
"6758",2,10,10,1,2
"6759",1,1,1,1,2
"6760",3,3,3,3,2
"6761",2,10,10,NA,2
"6762",2,7,7,3,5
"6763",2,2,2,1,2
"6764",2,2,2,4,1
"6765",2,2,2,3,2
"6766",6,6,6,3,2
"6767",3,3,3,1,2
"6768",2,2,2,3,1
"6769",2,2,2,3,1
"6770",NA,1,1,1,NA
"6771",1,1,1,3,2
"6772",1,1,1,1,1
"6773",6,1,1,1,2
"6774",1,1,1,1,2
"6775",2,2,2,8,1
"6776",1,1,1,7,2
"6777",1,1,1,1,1
"6778",6,5,5,3,2
"6779",2,2,2,1,2
"6780",2,2,2,1,2
"6781",1,1,1,1,2
"6782",2,2,2,1,1
"6783",2,10,10,3,3
"6784",2,7,7,1,4
"6785",NA,2,2,3,NA
"6786",3,10,10,1,5
"6787",1,1,1,2,2
