Filght no. full,Planefinder URL,Seats,Seats as num
FR7156,https://planefinder.net/data/flight/FR7156,,
FR552,https://planefinder.net/data/flight/FR552,,
FR6395,https://planefinder.net/data/flight/FR6395,,
FR3104,https://planefinder.net/data/flight/FR3104,,
FR7000,https://planefinder.net/data/flight/FR7000,,
FR9795,https://planefinder.net/data/flight/FR9795,,
FR7075,https://planefinder.net/data/flight/FR7075,,
FR1885,https://planefinder.net/data/flight/FR1885,,
FR2096,https://planefinder.net/data/flight/FR2096,,
FR5993,https://planefinder.net/data/flight/FR5993,,
FR7474,https://planefinder.net/data/flight/FR7474,,
FR4703,https://planefinder.net/data/flight/FR4703,,
FR2672,https://planefinder.net/data/flight/FR2672,,
FR9967,https://planefinder.net/data/flight/FR9967,,
FR281,https://planefinder.net/data/flight/FR281,,
FR2134,https://planefinder.net/data/flight/FR2134,,
FR6342,https://planefinder.net/data/flight/FR6342,,
FR9044,https://planefinder.net/data/flight/FR9044,,
FR4546,https://planefinder.net/data/flight/FR4546,,
FR5293,https://planefinder.net/data/flight/FR5293,,
FR4112,https://planefinder.net/data/flight/FR4112,,
FR5506,https://planefinder.net/data/flight/FR5506,,
FR8796,https://planefinder.net/data/flight/FR8796,,
FR200,https://planefinder.net/data/flight/FR200,,
FR6106,https://planefinder.net/data/flight/FR6106,,
FR4527,https://planefinder.net/data/flight/FR4527,,
FR7157,https://planefinder.net/data/flight/FR7157,,
FR553,https://planefinder.net/data/flight/FR553,,
FR6394,https://planefinder.net/data/flight/FR6394,,
FR3105,https://planefinder.net/data/flight/FR3105,,
FR7010,https://planefinder.net/data/flight/FR7010,,
FR9796,https://planefinder.net/data/flight/FR9796,,
FR7076,https://planefinder.net/data/flight/FR7076,,
FR1884,https://planefinder.net/data/flight/FR1884,,
FR2095,https://planefinder.net/data/flight/FR2095,,
FR5994,https://planefinder.net/data/flight/FR5994,,
FR7475,https://planefinder.net/data/flight/FR7475,,
FR4702,https://planefinder.net/data/flight/FR4702,,
